country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,,,,,,,,,,,,,,,0.124,,,0.143,,,0.189,,0.24,,0.343,0.386,0.399,,0.452,0.505,,,
Albania,,,,,,0.927,0.93,0.926,0.864,0.872,0.891,0.891,0.912,0.988,0.991,0.99,0.991,0.99,0.98,0.988,0.993,0.998,0.99,,,0.993,,,,,,,,,0.998
Algeria,,,,,,,,,0.765,,,,,,,,0.92,,0.959,,,,0.952,,,,,,,0.966,,,,,
Angola,,,,,,,,,,,,,0.225,,,,,0.447,,,,,,0.467,,,,,,,,,0.496,,
Antigua and Barbuda,,,,,,,,,,,,1,1,,1,,0.999,1,0.99,0.99,1,0.999,0.999,1,1,1,1,,1,1,1,,,,
Argentina,,,,,,,0.969,,0.958,,,0.985,,0.972,0.975,0.975,0.991,0.984,0.989,0.987,0.991,0.991,0.994,0.994,0.948,0.979,0.95,0.971,0.982,0.97,0.996,0.996,,,
Armenia,,,,,,0.997,0.997,0.997,0.983,0.955,0.933,0.931,0.957,0.964,0.974,0.988,0.968,0.984,0.988,0.992,0.995,0.978,0.997,0.999,0.999,1,0.995,1,1,1,1,,0.998,,
Australia,,,,,,,,1,0.993,0.993,0.994,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.994,0.993,0.992,0.991,0.991,0.991,0.991,,0.993,0.997,0.997,,,
Austria,,,,,,,,,,1,,,0.982,0.982,0.983,0.983,0.983,0.983,0.984,0.984,0.984,0.986,0.986,0.985,0.986,0.986,0.985,0.986,0.985,0.985,0.985,0.985,0.984,,
Azerbaijan,,,,,,0.973,0.973,0.972,0.965,0.963,0.996,0.915,0.879,0.904,0.915,0.924,0.841,0.94,0.94,0.958,0.959,0.944,0.886,0.93,0.98,0.998,0.994,0.972,0.998,0.999,0.999,0.998,0.998,,
Bahamas,,,,,,,0.99,,,,,0.99,,0.99,0.99,0.99,0.99,,0.99,0.99,0.98,,0.99,0.99,0.99,,0.99,0.99,,0.98,0.996,,,,
Bahrain,,,,,,,,,,,,0.976,,,,,0.977,0.975,0.976,0.978,0.994,1,0.975,0.974,0.975,0.994,0.993,0.996,0.998,0.998,0.998,0.997,,,
Bangladesh,,,,,,,,,,,0.095,,,0.08,,,0.121,0.12,,0.139,0.132,,0.201,0.18,,0.244,0.265,0.317,,0.435,0.421,,0.498,,
Barbados,,,,,,,,,,,,1,,,,0.91,0.98,,1,1,1,1,1,1,1,,,1,0.989,0.986,0.997,0.99,,,
Belarus,,,1,,,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,1,0.999,0.999,0.999,0.999,0.999,0.998,1,0.998,0.998,,,,
Belgium,,,,1,,,,,,,,,,,,0.993,,,,,,,,,,,,,,,,,,,
Belize,,,,,,,,0.769,,,,0.79,,,0.79,0.838,1,,0.97,,0.878,0.893,0.942,0.946,0.949,0.935,0.94,0.951,,0.942,,,0.968,,
Benin,,,,,,,,,,,,,0.598,,,,,0.655,,,,0.75,0.74,,,,,,0.809,,0.772,,,,0.781
Bhutan,,,,,,,,,,,0.12,,,,,,0.237,,,0.561,,0.523,0.571,0.536,0.663,0.66,0.645,0.7,0.746,0.89,0.89,0.89,0.89,,
Bolivia,,,,,,0.426,,,,,0.472,,,,0.593,,0.673,,0.651,0.608,0.608,,,,0.711,,,0.84,0.848,,,,0.898,,
Bosnia and Herzegovina,,,,,,0.966,0.97,0.974,,,,,0.989,0.99,0.995,0.997,0.989,0.998,0.998,0.999,0.999,0.999,0.994,0.999,0.999,0.999,0.999,0.999,0.999,,0.999,0.999,,,
Botswana,,,,,0.775,,,,,,,,0.87,,,,0.985,0.92,0.965,0.961,0.973,0.94,0.993,0.946,0.983,0.995,0.991,0.998,0.998,0.999,0.995,0.997,,,
Brazil,,,,,,,,0.695,,,,,0.876,0.986,0.986,0.986,0.986,0.983,0.985,0.984,0.986,0.986,0.97,0.986,0.988,0.989,0.989,0.99,0.99,0.991,0.991,0.992,,,
Brunei,,,,,,,,0.978,0.98,0.978,0.982,0.986,0.989,0.996,0.993,0.994,0.995,0.997,0.996,0.996,0.996,0.997,0.997,0.999,0.997,0.999,0.998,0.997,0.998,0.997,0.999,1,1,,
Bulgaria,,,,,,0.993,0.991,0.995,0.998,0.99,0.99,0.989,0.999,0.999,0.999,0.99,0.998,0.989,0.992,0.992,0.994,0.994,0.994,0.996,0.996,0.996,0.995,,,0.997,0.997,0.998,,,
Burkina Faso,,,,,,,,,,0.415,,,,,,0.31,,,,0.378,,,0.535,,,,0.659,,,,,0.798,,,
Burundi,,,,0.191,,,,,,,,,,,,,0.252,,,,,0.318,,,,,0.603,,0.784,,,,,0.851,
Cambodia,,,,,,,,,,,,0.433,,,0.34,,0.318,,,,0.163,0.438,0.438,,,,0.71,0.71,0.74,,0.89,,,,
Cameroon,,,,,,,,0.584,,,,,,,0.55,,0.561,,,,0.589,,0.459,,,,,0.561,,,0.647,,,,
Canada,,,,1,,,,0.991,0.996,0.994,0.993,0.98,0.992,0.993,0.993,0.992,0.993,0.993,0.993,0.989,0.99,0.988,0.988,1,0.987,0.986,0.985,0.999,0.981,0.98,0.979,,,,
Cape Verde,,,,,,,,,,,,0.54,,,0.885,,,,,,,0.775,0.764,0.744,0.746,0.756,0.985,0.987,,0.923,0.956,0.914,,,
Central African Republic,,,,,,,,,,,,0.459,,,,,0.317,,,,,,0.414,,0.437,0.437,0.4,,,,,,,,
Chad,,,,,,,,,,,,,,0.15,,,0.137,,,,0.144,,,,,,0.166,,,,,0.202,,,
Chile,,,,,,,,,,0.994,0.995,0.995,0.996,0.994,0.996,0.994,0.99,0.998,0.998,0.977,0.998,0.998,0.998,0.997,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.997,,,
China,,,,,,,0.94,0.937,0.841,0.836,0.904,0.893,0.931,0.938,,0.968,0.966,0.973,0.967,0.959,0.973,0.975,0.978,0.984,0.991,0.993,0.996,0.997,0.998,0.999,0.999,0.999,,,
Colombia,,,0.711,,,,0.806,,,,,0.836,,,0.913,0.921,0.861,0.931,0.945,0.95,0.907,0.964,0.971,0.978,0.981,0.986,0.948,0.992,0.987,0.987,0.989,0.959,0.955,,
Comoros,,,,,,,,,,,,,0.516,,,,0.618,,,,,,,,,,,,0.822,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,0.607,,,,,,0.644,,,0.742,,,,0.801,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,0.834,,,,,,,0.925,,,0.944,,,
Costa Rica,,,0.97,,,,,,0.98,0.97,,,,,0.98,0.982,0.984,0.98,0.985,0.982,0.985,0.985,0.986,0.987,0.991,0.991,0.953,0.984,0.989,0.99,0.991,0.9,,,
Cote d'Ivoire,,,,,,,,,,,0.454,,,,,0.471,0.628,,,,0.68,0.551,0.568,,,,,,0.594,,,,0.736,,
Croatia,,,,,,0.997,0.998,0.998,0.998,0.998,0.998,0.999,0.998,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,,,
Cuba,,,,,,,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.994,0.999,0.999,,
Cyprus,,,,,,,1,1,1,1,1,1,1,1,1,1,0.979,,,0.99,0.957,0.993,0.985,0.983,0.972,0.983,0.986,0.983,0.987,0.999,0.974,,,,
Czech Republic,,,,,,1,1,1,1,1,1,1,1,1,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.996,0.999,0.999,0.999,0.998,,,,,
Denmark,,,,1,,,,,,,,,,0.983,0.988,0.987,0.988,0.989,0.988,0.989,0.986,0.988,0.987,0.978,,0.987,0.985,0.985,0.982,0.963,0.959,0.954,0.944,,
Djibouti,,,,,,,,,,,,,,,,,,,,0.606,,,0.784,,,,,,0.874,,,,,,
Dominica,,,,,,,,,,,,1,,,0.95,0.999,1,1,1,1,1,0.99,,0.94,1,1,,1,1,1,1,0.96,0.96,,
Dominican Republic,,,0.898,,,,,0.924,,,,,0.955,,,0.974,0.976,,0.978,,,,0.955,0.978,,,0.969,0.987,0.988,0.986,0.976,0.996,,,
Ecuador,,,,0.613,,,,,,,0.987,,,,,0.991,,,,,0.982,0.8,0.826,0.841,0.858,0.877,0.892,0.911,0.931,0.947,0.963,0.95,0.967,,
Egypt,,,,,0.346,,,0.365,0.407,0.407,,0.462,0.463,0.564,0.552,,0.609,,,0.694,,0.742,,,0.789,,,,,,0.915,,,,
El Salvador,,0.854,,,0.9,,,,,0.874,,,,,0.904,,,,,0.924,,0.872,0.896,0.931,0.95,0.975,0.98,0.99,0.995,0.998,0.977,0.999,0.999,,
Equatorial Guinea,,,,,,,,,,,0.05,,,,,,0.646,,,,,,,,,,,0.683,,,,,,,
Eritrea,,,,,,,,,,,,0.206,0.206,,,,,,0.283,,,,,,,,0.341,,,,,,,,
Estonia,,,,,,0.99,,,0.99,0.991,0.993,0.995,0.996,0.995,0.996,0.996,0.997,0.997,0.996,0.997,0.998,0.998,0.998,0.994,0.993,0.992,0.993,0.994,0.993,0.994,0.994,0.995,0.994,,
Eswatini,,,,,,,,,,,0.56,,,,,,0.654,,0.74,,,,,0.69,,,0.82,,,,0.883,,,,
Ethiopia,,,,,,,,,,,,,,,0.065,,0.056,,,,0.064,0.057,,,,,,0.1,,0.231,0.155,,0.277,,
Fiji,,,,,,,0.953,0.945,,0.976,0.962,0.962,0.963,0.962,1,0.964,0.99,0.984,0.969,0.967,0.97,0.972,0.993,0.99,0.988,0.998,0.997,0.996,0.993,0.997,0.997,0.999,,,
Finland,,,,,,,0.988,,0.986,0.986,0.985,0.985,0.984,0.984,0.983,0.984,0.984,0.985,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.997,0.998,,0.997,0.999,,,
France,,,,,,,,,,0.99,,,,,,,,0.996,,,0.98,0.979,0.983,0.981,0.98,0.979,0.975,0.962,0.971,0.983,0.983,0.977,0.974,,
Gabon,,,,,,,,,,,,,,,,,0.826,0.855,,,,,,,,,,,0.893,,,,,,
Gambia,,,,,,,0.441,,,,,,,,,,0.516,,,,,,0.521,,,,0.561,,,0.572,,,,,
Georgia,,,,,,0.946,0.966,0.913,0.911,0.908,,,,,0.96,0.964,0.957,0.967,0.974,0.99,0.975,0.983,0.988,0.994,0.996,0.999,0.996,0.998,0.998,0.999,0.999,0.999,,,
Germany,,,1,,,,,,,,,,,,,0.987,0.986,0.986,0.986,0.986,0.982,0.982,0.984,0.984,0.985,0.983,0.983,0.983,0.985,0.985,0.985,0.987,,,
Ghana,,,,,0.402,,,,,0.438,0.438,,,,0.443,0.443,,,,0.471,,,0.497,0.552,0.547,,,0.672,,,0.708,,,,
Grenada,,,,,,,,,,,,1,,,0.99,0.99,1,,1,1,,1,,0.988,,1,,1,0.99,0.99,0.99,,0.993,,
Guatemala,0.35,,,0.292,,,,,,,,0.348,,,,0.406,,,0.414,,,,,,,0.515,0.523,,,0.628,,0.655,,,
